INDEX,TEXT ,STYLE TEXT
1,"Вещество может существовать в трёх агрегатных состояниях: твёрдом, жидком и газообразном. При нагревании твёрдые вещества плавятся, а жидкие закипают, превращаясь в пар. Понижение температуры приводит к обратным превращениям. Некоторые газы при высоком давлении сжижаются. При всех этих явлениях мельчайшие частицы вещества не разрушаются. Таким образом, вещество, изменяя агрегатное состояние, не превращается в другое.",научный стиль
2,"Тело амёбы представляет собой одну клетку до 0,25 мм длиной. Её форма постоянно меняется, благодаря чему клетка перемещается. Во время движения на передней стороне клетки возникают выросты, в которые постепенно перетекает цитоплазма из центральной и задней части клетки. Эти выросты называются ложноножками. Когда на пути амёбы возникает скопление бактерий или остатки других организмов, ложноножки окружают их и замыкают в себе. Так начинается процесс пищеварения у амёбы протей.",научный стиль
3,"Климатические пояса – это широтные полосы земного шара с относительно однородным климатом. Выделяют 7 основных климатических поясов: экваториальный, два тропических, два умеренных, два полярных. Между основными климатическими поясами есть 6 переходных: два субэкваториальных, два субтропический, субарктический, субантарктический (префикс “суб” обозначает “между”).",научный стиль
4,"Дождь – атмосферные осадки, выпадающие из облаков в виде капель жидкости со средним диаметром от 0,5 до 6–7 мм. Обложной дождь – дождь, состоящий из капель средней величины, длительно выпадающий из облаков слоисто-дождевых или высокослоистых, умеренный и достаточно равномерный по интенсивности. Выпадение обложных дождей непрерывно или с короткими перерывами продолжается несколько часов, иногда значительную часть суток или даже более суток.",научный стиль
5,"Верблюд — выносливое животное. Он долго может обходиться без пищи и воды. Стопы ног у верблюда грубые и мозолистые, он не чувствует высокой температуры песка пустыни. Верблюд хорошо переносит и холод, так как тело его покрыто шерстью. строгий отбор языковых средств; строгий отбор языковых средств;",научный стиль
6,"Среди феноменологических моделей наибольшее распространение получили модели основанные на лучевых представлениях полей рассеяния и модели базирующиеся на принципе Гюйгенса-Френеля, согласно которому каждая точка волнового фронта рассеянного поля рассматривается как источник вторичных волн. К этому типу моделей относится модель локальных источников рассеяния. Несмотря на то, что все эти модели имеют одни и те же методологические основы, они имеют особенности, которые проявляются при дополнительных упрощениях и допущениях математического и физического характера. Аналоговой моделью принято называть стохастическую модель «блестящих» точек, получивую широкое распространение при анализе рассеянных полей от объектов, которые представлены в виде совокупности локальных отражателей.",научный стиль
7,"Мировая экономика, пишет автор, рано или поздно будет вынуждена использовать материальные и энергетические ресурсы Солнечной системы хотя бы лишь по одной причине – истощения сырьевых ресурсов Земли. Но существует один психологический аспект, который следует из положения, высказанного Б. Расселом в 1952 г. Б. Рассел считал, что если когда-нибудь на Земле наступит всеобщий мир, люди будут удовлетворять свое стремление к приключениям, в исследованиях, а не в разрушениях. А познание Солнечной системы и звезд может стать таким приключением, вытесняющим энергию разрушения, что, вероятно, позволит решить серьезную психологическую проблему. Кроме того, такие мощные культурные и интеллектуальные стимулы могут помочь человечеству избежать стагнации, предсказанной современным философом Ф. Фукуямой.",научный стиль
8,"При нормативной оценке избыточных сочетаний необходимо иметь в виду, что многие из них служат стилистическим целям, являются одним из способов усиления признака целенаправленной характеристики предмета высказывания. Неслучайно поэтому соединение синонимов и некоторые тавтологические сочетания имеют общую психо-эмоциональную основу, сосредоточение внимания на значимом представлении путем повторения одних и тех же или родственных сигналов. Мы, замечал еще выдающийся русский ученый А. А. Потебня, чтобы выразить лучше нашу мысль, нагромождаем слова, которые значат приблизительно одно и то же. В устном народном творчестве, в классической и современной литературе встречается много сочетаний слов, которые в той или иной степени повторяют (усиливают) основной признак выражаемого понятия. Но ведь никто не станет браковать такие, например, широко употребительные выражения как истинная правда, всякая всячина, слыхом не слыхивать, криком кричать, вокруг да около и т.д.",научный стиль
9,"АЙСБЕРГАМИ являются глыбы пресного льда, которые были частью ледников, отломились и дрейфуют по морям и озерам (обычные плавучие и паковые льды формируются на морской поверхности при замерзании). Их основные источники располагаются в ледниках Гренландии и Антарктиды. В длину антарктические айсберги могут достигать 80 км. Некоторые из них видны над водой больше чем на 60 м. Под водой остается часть, до 10 раз превышающая надводную. ",научный стиль
10,"Изучая ранее способы получения и химические свойства простых веществ, различных оксидов, кислот, оснований и солей, вы неоднократно сталкивались с примерами последовательного превращения веществ. В результате различных химических реакций одни вещества превращаются в другие, из которых затем образуются всё новые и новые соединения. Ряды таких последовательных переходов уже знакомы вам под названием «цепочки превращений», и вы, конечно же, составляли уравнения реакций для их осуществления. Вспомним, в чём заключается суть этих превращений.",научный стиль
11,"Создание в России эффективной современной системы высшего образования предполагает творческое использование отечественного и зарубежного исторического опыта в области организации общеобразовательной и профессиональной школы. Об актуальности исторического опыта отечественного высшего образования говорил, в частности, Президент РФ В.В. Путин в ходе встречи с активом Российского союза ректоров 24 августа 2011 г. В частности, значительный теоретический и научно-практический интерес представляет тема становления и эволюции университетского химического образования в России. Актуальность исследования данной проблемы получила обоснование в ходе общественных дискуссий о путях развития российской образовательной системы. Решением Генеральной Ассамблеи ООН 2011 г. был объявлен Международным годом химии под девизом: «Химия – наша жизнь, наше будущее». В феврале 2011 г. в Большом зале Президиума РАН прошла торжественная церемония открытия Года химии в России, участники которого говорили в том числе о проблемах химического образования Российской Федерации, о роли университетов в современном российском образовательном пространстве2. Вопросы реформирования высшей химической школы являются предметом неизменного внимания участников Менделеевских съездов и других научных форумов российских химиков. При этом научно-педагогические коллективы химических факультетов университетов и ведущих химико-технологических вузов придают принципиальное значение использованию исторического опыта ХХ века в процессе модернизации высшего химического образования России",научный стиль
12,"Выбор университетского химического образования в качестве самостоятельного объекта научноисторического исследования определяется комплексом характеристик, отличающих его от других систем химического образования и определяющих его существенное значение в процессе подготовки высококвалифицированных кадров химиков на протяжении длительного исторического периода. Университетское химическое образование, направленное на подготовку химиков-исследователей и преподавателей химии высшей квалификации, представляет собой один из основополагающих компонентов отечественной высшей школы ХХ века. Его структурное и содержательное развитие непосредственно связано с системами университетской и академической науки, с процессом эволюции высшего образования в целом, с развитием в стране химической промышленности и технологий. В то же время мир университетской химии с его глубокими научно-педагогическими традициями представляет собой самобытное и уникальное социокультурное пространство.",научный стиль
13,"Подготовка высококвалифицированных специалистов в области химии и других естественных наук является одним из приоритетов в образовательной политике модернизирующейся России. В системе двухуровневого образования подготовка бакалавров и магистров химии по программам классических университетов осуществляется в 80 университетах страны, действующих в 64 субъектах Российской Федерации. В современном информационном обществе, в условиях синтеза наук и развития междисциплинарных исследовательских методов, происходит трансформация традиционных университетских школ химии в более открытые и динамичные информационные системы. Однако накопленный ими за более чем столетний период опыт соединения научно-исследовательской и учебной деятельности, воспитания кадров молодых учёных-химиков имеет непреходящую ценность.",научный стиль
14,"Органически вписавшиеся в сегодняшнее бытие, оказывающие всё более интенсивное влияние на него и испытывающие его обратное действие, современная техника и технология становятся в свою очередь всё более зависимыми от общей и производственной дисциплины людей, от их природных и приобретенных возможностей и готовности использовать эти возможности для удержания технических систем в упорядоченном (контролируемом) русле",научный стиль
15,"Между тем количество техногенных катастроф, всякого рода опаснейших аварий, ДТП в мире растет с угрожающей быстротой. Более чем нежелательный итог этого явления – привыкание к издержкам научнотехнического прогресса, а то и оправдывание их. Результатом этого порой становится снижение уровня безопасности применения во всех сферах применения техники. Следствием этого является всё более пристальное внимание уголовно-правовой доктрины к исследованию преступлений в сфере взаимодействия человека и техники, иначе – технических преступлений.",научный стиль
16,"Но чем глубже и детальнее изучаются признаки каждого из рассматриваемых преступлений, тем с большей очевидностью выкристаллизовываются и становятся доступными для интегративного изучения общие признаки всех преступлений в области использования техники и все вопросы, связанные с ними",научный стиль
17,"Становится всё более определенным и ряд общих вопросов борьбы со всеми техническими преступлениями, которые требуют дальнейшего внимания. Вот некоторые из них: ставить ли криминализацию ненадлежащего использования техники в зависимость от характера допущенных нарушений или от последствий, которыми они завершаются; должны ли нормы об этих преступлениях идти по линии продолжающейся детализации их признаков или по линии обобщения; каковы пределы юридически значимой причинной связи между действиями операторов технических систем и последствиями этих действий; каковы пределы должного предвидения операторов технических систем; не следует ли дополнить понятийный аппарат уголовного права понятиями специальной вменяемости и соучастия в неосторожном преступлении, каково содержание этих понятий; каковы пределы и перспективы криминализации и декриминализации технических деликтов?",научный стиль
18,"Очевидно, что какие-то из этих вопросов выглядят более или менее важными, но бесспорно и то, что ответы на них не могут и не должны зависеть от того, идет ли речь о преступлениях на транспорте, о преступлениях в области охраны труда или о некоторых воинских преступлениях.",научный стиль
19,"Борьба с техническими преступлениями, корни которой берут начало с момента создания первых примитивных орудий труда, велась и ведется в рамках решения двух взаимосвязанных задач уголовноправовой превенции: 1) технических опасностей; 2) технических вредностей. Обе задачи сопряжены с исключением негативных воздействий техники на человека и общество. Причем, если первая из этих задач исключает такие воздействия на человека, относительно которых охраняющие реакции невозможны (падение самолета, наезд автотранспорта и пр.), то решение второй связано с исключением средствами уголовного права явлений, систематически разрушающих организм человека (отравление воздуха, загрязнение вод, чрезмерная радиация и т. д.). Этим задачам соответствует установление уголовной ответственности за преступления против общественной безопасности и за преступления против здоровья человека, в ряду которых существенное место занимают преступления, посягающие на общественную безопасность в сфере взаимодействия человека и техники.",научный стиль
20,"В принципе, речь может идти и идет о двух родах техники – простой и очень простой (лом, для земляных работ, топор и пр.) и сложной и очень сложной. В простой отсутствуют перемещения частей и внутренние преобразования форм движения, их движитель – человеческая сила, во всякий момент контролируемая им. Сложная и особо сложная техника приводится в движение механическими, химическими и иными силами природы, свободными от ограничений, присущих человеческой энергии, во-первых, и использование которой испытывает влияние многих непредсказуемых или вероятностно прогнозируемых факторов – во-вторых.",научный стиль
21,"В любом случае проблема безопасного использования техники существует столько же, сколько существует техника. Вначале она сливалась с проблемой сохранности тех, кто непосредственно общался с нею. С момента же выхода техники за стены промышленных предприятий она стала пронизывать все сферы общественного бытия и проблема её безопасного применения развернулась в проблему общественной безопасности – охраны среды обитания людей (ноосферы) от просчетов лиц, взаимодействующих с техническими устройствами, чреватыми опасностями как для неопределенного множества людей, так и для гигантских запасов овеществленного общественного труда.",научный стиль
22,"Примечательно, что ещё Н.А. Бердяев обратил внимание на то, что «кризис нашего общества, в значительной мере порожден техникой, с которой человек не в силах справиться». Существенна, добавим, и эрозия общественных отношений – вторжение в деятельность людей, взаимодействующих с техникой, корысти, рвачества и прожектерства, тщеславия, самонадеянности и невежества",научный стиль
23,"Но движение «назад к природе», если бы оно и было возможно, означало бы уничтожение цивилизации в современном её виде при непременном снижении «качества жизни», под которым понимаются удобства, доставляемые людям современной техникой. Кроме того, техника снижает многие опасности, вытекающие из её применения. Пассажиры, например, современного реактивного лайнера рискуют во много раз меньше, нежели те, кто когда-то проделывал путь Москва – Владивосток или даже из Петербурга в Москву в карете или в санях.",научный стиль
