INDEX,TEXT ,STYLE TEXT
1,"Война изуродовала Боровое. Вперемежку с уцелевшими избами стояли, как памятники народного горя, обуглившиеся печи. Торчали столбы от ворот. Сарай зиял огромной дырой – от него отломили половину и унесли. Были сады, а теперь пни – как гнилые зубы. Лишь кое-где приютились по две-три яблоньки-подростка. Село обезлюдело. Когда однорукий Федор вернулся домой, мать была в живых. Состарилась, отощала, седины прибавилось. Усадила за стол, а угощать-то и нечем. Было у Федора свое, солдатское. За столом мать рассказала: всех пообирали, шкуродеры окаянные! Прятали мы свиночек да курочек, кто куда горазд. Да неужто убережешь? Он шумит-грозит, подавай ему курицу, будь хоть распоследняя. С перепугу и последнюю отдавали. Вот и у меня ничего не осталось. Ой, худо было! Разорил село фашист проклятый! Сам видишь, что осталось… больше половины дворов спалил. Народ кто куда разбежался: кто в тыл, кто в партизаны. Девчонок сколько поугоняли! Вот и нашу Фросю увели… За день-два огляделся Федор. Стали возвращаться свои, боровские. Повесили на пустой избе фанерку, а по ней кривобокими буквами сажей на масле – не было краски – «Правление колхоза «Красная заря» – и пошло, и пошло! Лиха беда – начало.",художественный стиль
2,"Молодежь нашей страны любит леса и парки. И любовь эта плодотворная, деятельная. Она выражается не только в закладке новых садов, парков и лесополос, но и в бдительной охране дубрав и лесов. Однажды на собрании на столе президиума появились ровные щепки. Какой-то лиходей срубил яблоню, одиноко росшую на берегу реки. Словно маяк, стояла она на крутояре. К ней привыкли, как к обличью своего дома, ее любили. И вот ее не стало. В этот день родилась группа по охране природы. Ее назвали «Зеленый патруль». Пощады браконьерам не было, и они стали отступать.",художественный стиль
3,"Красавец сугроб, голубыми искрами сверкавший на солнце, потемнел. Тонкий черный налет появился на нем. Сугроб стал оседать, меняя форму, покрылся хрупкой ледяной коркой, корка трескалась и ломалась. Оседал-оседал сугроб и стал маленький, некрасивый, весь черный, и потек из-под него тоненький прозрачный ручеек. Ручеек потек через двор, проложил себе русло во льду и выбежал за ворота. А там уже струился, завиваясь на ледяных порогах, широкий ручей. Маленький ручеек влился в большой ручей и с ним устремился к реке. Толстые сосульки, свисавшие с крыш, обтаивали на солнце, капли, падая с них, звонко ударяли об лёд, по всем улицам пели капели песню весны",художественный стиль
4,"Товарищ Локтев и его дама Нюша Кошелькова на днях встретили меня на улице. Я гулял, или, может быть шел горло промочить — не помню. Встречают и уговаривают: -Горло, — говорят, — Василий Митрофанович, от вас не убежит. Горло завсегда при вас, завсегда его прополоскать успеете. Идемте лучше сегодня в театр. Спектакль — «Грелка». И, одним словом, уговорили меня пойти в театр — провести культурно вечер. Пришли мы, конечно, в театр. Взяли, конечно, билеты. Поднялись по лестнице. Вдруг назад кличут. Велят раздеваться. -Польта, — говорят, — сымайте.",художественный стиль
5,"Побледнели и затуманились звёзды… Кое-где послышались голоса…Из деревенских труб повалил сизый, едкий дым. На серой колокольне показался не совсем еще проснувшийся пономарь и ударил к обедне…Послышалось храпенье растянувшегося под деревом ночного сторожа. Проснулись щуры, закопошились, залетали с одного конца сада на другой и подняли свое надоедливое чириканье…В терновнике запела иволга…",художественный стиль
6,"Лейтенант шел по желтому строительному песку, нагретому дневным палящим солнцем. Он был мокрым от кончиков пальцев до кончиков волос, все его тело было усеяно царапинами от острой колючей проволоки и ныло от сводящей с ума боли, но он был жив и направлялся к командному штабу, который виднелся на горизонте метрах в пятистах.",художественный стиль
7,"Варенька, такая милая, добродушная и отзывчивая девушка, глаза которой всегда лучились добротой и теплом, с невозмутимым видом сущего демона шла к бару «Гадкий Гарри» с автоматом Томпсона наперевес, готовая укатать в асфальт этих мерзких, грязных, вонючих и скользких типов, посмевших пялиться на ее прелести и пускать похотливые слюни.",художественный стиль
8,"Яша был всего лишь мелким пакостником, который, тем не менее, имел очень большой потенциал. Еще в розовом детстве он виртуозно тырил яблоки у тети Нюры, а не прошло и каких-то двадцати лет, как он с тем же лихим запалом переключился на банки в двадцати трех странах мира, причем умудрялся так мастерски их обчищать, что ни полиция, ни Интерпол никак не могли взять его с поличным.",художественный стиль
9,"Монах выхватил посох и встал на пути нарушителя: – Зачем ты пришел к нам в монастырь? – спросил он. – Какое тебе дело, пшел вон с дороги! – огрызнулся чужак. – Уууу…– Многозначительно протянул монах. – Похоже, манерам тебя не учили. Ладно, я сегодня как раз в настроении, преподам тебе несколько уроков. – Ты меня достал, монах, ангард! – прошипел незваный гость. – Моя кровь начинает играть! – с восторгом простонал церковник, – Пожалуйста, постарайся не разочаровать меня. С этими словами оба сорвались со своих мест и сцепились в беспощадной схватке.",художественный стиль
10,"Странный свет – неяркий и неподвижный – был непохож на солнечный. Это светили осенние листья. За ветреную и долгую ночь сад сбросил сухую листву, она лежала шумными грудами на земле и распространяла тусклое сияние. От этого сияния лица людей казались загорелыми, а страницы книг на столе как будто покрылись слоем воска.",художественный стиль
11,"Во всякой книге предисловие есть первая и вместе с тем последняя вещь; оно или служит объяснением цели сочинения, или оправданием и ответом на критики. Но обыкновенно читателям дела нет до нравственной цели и до журнальных нападок, и потому они не читают предисловий. А жаль, что это так, особенно у нас. Наша публика так еще молода и простодушна, что не понимает басни, если в конце ее на находит нравоучения. Она не угадывает шутки, не чувствует иронии; она просто дурно воспитана. Она еще не знает, что в порядочном обществе и в порядочной книге явная брань не может иметь места; что современная образованность изобрела орудие более острое, почти невидимое и тем не менее смертельное, которое, под одеждою лести, наносит неотразимый и верный удар. Наша публика похожа на провинциала, который, подслушав разговор двух дипломатов, принадлежащих к враждебным дворам, остался бы уверен, что каждый из них обманывает свое правительство в пользу взаимной нежнейшей дружбы.",художественный стиль
12,"Вы скажете, что нравственность от этого не выигрывает? Извините. Довольно людей кормили сластями; у них от этого испортился желудок: нужны горькие лекарства, едкие истины. Но не думайте, однако, после этого, чтоб автор этой книги имел когда-нибудь гордую мечту сделаться исправителем людских пороков. Боже его избави от такого невежества! Ему просто было весело рисовать современного человека, каким он его понимает, и к его и вашему несчастью, слишком часто встречал. Будет и того, что болезнь указана, а как ее излечить — это уж бог знает!",художественный стиль
13,"Уж солнце начинало прятаться за снеговой хребет, когда я въехал в Койшаурскую долину. Осетин-извозчик неутомимо погонял лошадей, чтоб успеть до ночи взобраться на Койшаурскую гору, и во все горло распевал песни. Славное место эта долина! Со всех сторон горы неприступные, красноватые скалы, обвешанные зеленым плющом и увенчанные купами чинар, желтые обрывы, исчерченные промоинами, а там высоко-высоко золотая бахрома снегов, а внизу Арагва, обнявшись с другой безыменной речкой, шумно вырывающейся из черного, полного мглою ущелья, тянется серебряною нитью и сверкает, как змея своею чешуею.",художественный стиль
14,"За моею тележкою четверка быков тащила другую как ни в чем не бывало, несмотря на то, что она была доверху накладена. Это обстоятельство меня удивило. За нею шел ее хозяин, покуривая из маленькой кабардинской трубочки, обделанной в серебро. На нем был офицерский сюртук без эполет и черкесская мохнатая шапка. Он казался лет пятидесяти; смуглый цвет лица его показывал, что оно давно знакомо с закавказским солнцем, и преждевременно поседевшие усы не соответствовали его твердой походке и бодрому виду. Я подошел к нему и поклонился: он молча отвечал мне на поклон и пустил огромный клуб дыма.",художественный стиль
